Time_(s),Temperature_(C),u(t),tH_(ms),tL_(ms)
1019.60,35.06,15.86,132.00,701.00
1020.43,35.06,15.86,132.00,701.00
1021.26,35.06,15.86,132.00,701.00
1022.10,35.06,15.86,132.00,701.00
1022.93,35.06,15.85,132.00,701.00
1023.76,35.06,15.85,132.00,701.00
1024.60,35.06,15.85,132.00,701.00
1025.43,35.06,15.85,132.00,701.00
1026.26,35.06,15.85,132.00,701.00
1027.10,35.06,15.85,132.00,701.00
1027.93,35.06,15.85,132.00,701.00
1028.76,35.06,15.85,132.00,701.00
1029.59,35.06,15.85,132.00,701.00
1030.43,35.06,15.85,132.00,701.00
1031.26,35.06,15.85,132.00,701.00
1032.09,35.06,15.85,132.00,701.00
1032.93,35.06,15.85,132.00,701.00
1033.76,35.06,15.85,132.00,701.00
1034.59,35.06,15.85,132.00,701.00
1035.43,35.06,15.85,132.00,701.00
1036.26,35.06,15.85,132.00,701.00
1037.09,35.06,15.85,132.00,701.00
1037.92,35.06,15.85,132.00,701.00
1038.76,35.06,15.85,132.00,701.00
1039.59,35.06,15.85,132.00,701.00
1040.42,35.06,15.85,131.00,702.00
1041.26,35.06,15.85,131.00,702.00
1042.09,35.06,15.85,131.00,702.00
1042.92,35.06,15.84,131.00,702.00
1043.76,35.06,15.84,131.00,702.00
1044.59,35.06,15.84,131.00,702.00
1045.42,35.06,15.84,131.00,702.00
1046.25,35.06,15.84,131.00,702.00
1047.09,35.06,15.84,131.00,702.00
1047.92,35.06,15.84,131.00,702.00
1048.75,35.06,15.84,131.00,702.00
1049.59,35.06,15.84,131.00,702.00
1050.42,35.06,15.84,131.00,702.00
1051.25,35.06,15.84,131.00,702.00
1052.09,35.06,15.84,131.00,702.00
1052.92,35.06,15.84,131.00,702.00
1053.75,35.06,15.84,131.00,702.00
1054.58,35.06,15.84,131.00,702.00
1055.42,35.06,15.84,131.00,702.00
1056.25,35.06,15.84,131.00,702.00
1057.08,35.06,15.84,131.00,702.00
1057.92,35.06,15.84,131.00,702.00
1058.75,35.06,15.84,131.00,702.00
1059.58,35.06,15.84,131.00,702.00
1060.42,35.06,15.84,131.00,702.00
1061.25,35.06,15.84,131.00,702.00
1062.08,35.06,15.84,131.00,702.00
1062.91,35.06,15.83,131.00,702.00
1063.75,35.06,15.83,131.00,702.00
1064.58,35.06,15.83,131.00,702.00
1065.41,35.06,15.83,131.00,702.00
1066.25,35.06,15.83,131.00,702.00
1067.08,35.06,15.83,131.00,702.00
1067.91,35.06,15.83,131.00,702.00
1068.75,35.06,15.83,131.00,702.00
1069.58,35.06,15.83,131.00,702.00
1070.41,35.06,15.83,131.00,702.00
1071.24,35.06,15.83,131.00,702.00
1072.08,35.06,15.83,131.00,702.00
1072.91,35.06,15.83,131.00,702.00
1073.74,35.06,15.83,131.00,702.00
1074.58,35.06,15.83,131.00,702.00
1075.41,35.06,15.83,131.00,702.00
1076.24,35.06,15.83,131.00,702.00
1077.08,35.06,15.83,131.00,702.00
1077.91,35.06,15.83,131.00,702.00
1078.74,35.06,15.83,131.00,702.00
1079.57,35.06,15.83,131.00,702.00
1080.41,35.06,15.83,131.00,702.00
1081.24,35.06,15.83,131.00,702.00
1082.07,35.06,15.83,131.00,702.00
1082.91,35.06,15.82,131.00,702.00
1083.74,35.06,15.82,131.00,702.00
1084.57,35.06,15.82,131.00,702.00
1085.41,35.06,15.82,131.00,702.00
1086.24,35.06,15.82,131.00,702.00
1087.07,35.06,15.82,131.00,702.00
1087.90,35.06,15.82,131.00,702.00
1088.74,35.06,15.82,131.00,702.00
1089.57,35.06,15.82,131.00,702.00
1090.40,35.06,15.82,131.00,702.00
1091.24,35.06,15.82,131.00,702.00
1092.07,35.06,15.82,131.00,702.00
1092.90,35.06,15.82,131.00,702.00
1093.74,35.06,15.82,131.00,702.00
1094.57,35.06,15.82,131.00,702.00
1095.40,35.06,15.82,131.00,702.00
1096.23,35.06,15.82,131.00,702.00
1097.07,35.06,15.82,131.00,702.00
1097.90,35.06,15.82,131.00,702.00
1098.73,35.06,15.82,131.00,702.00
1099.57,35.06,15.82,131.00,702.00
1100.40,35.06,15.82,131.00,702.00
1101.23,35.06,15.82,131.00,702.00
1102.07,35.06,15.82,131.00,702.00
1102.90,35.06,15.81,131.00,702.00
1103.73,35.06,15.81,131.00,702.00
1104.56,35.06,15.81,131.00,702.00
1105.40,35.06,15.81,131.00,702.00
1106.23,35.06,15.81,131.00,702.00
1107.06,35.06,15.81,131.00,702.00
1107.90,35.06,15.81,131.00,702.00
1108.73,35.06,15.81,131.00,702.00
1109.56,35.06,15.81,131.00,702.00
1110.40,35.06,15.81,131.00,702.00
1111.23,35.06,15.81,131.00,702.00
1112.06,35.06,15.81,131.00,702.00
1112.89,35.06,15.81,131.00,702.00
1113.73,35.06,15.81,131.00,702.00
1114.56,35.06,15.81,131.00,702.00
1115.39,35.06,15.81,131.00,702.00
1116.23,35.06,15.81,131.00,702.00
1117.06,35.06,15.81,131.00,702.00
1117.89,35.06,15.81,131.00,702.00
1118.73,35.06,15.81,131.00,702.00
1119.56,35.06,15.81,131.00,702.00
1120.39,35.06,15.81,131.00,702.00
1121.22,35.06,15.81,131.00,702.00
1122.06,35.06,15.81,131.00,702.00
1122.89,35.06,15.81,131.00,702.00
1123.72,35.06,15.80,131.00,702.00
1124.56,35.00,15.95,132.00,701.00
1125.39,35.06,16.55,137.00,696.00
1126.22,35.06,15.80,131.00,702.00
1127.06,35.06,15.80,131.00,702.00
1127.89,35.06,15.80,131.00,702.00
1128.72,35.06,15.80,131.00,702.00
1129.56,35.06,15.80,131.00,702.00
1130.39,35.06,15.80,131.00,702.00
1131.22,35.06,15.80,131.00,702.00
1132.05,35.06,15.80,131.00,702.00
1132.89,35.06,15.80,131.00,702.00
1133.72,35.06,15.80,131.00,702.00
1134.55,35.06,15.80,131.00,702.00
1135.39,35.06,15.80,131.00,702.00
1136.22,35.06,15.80,131.00,702.00
1137.05,35.06,15.80,131.00,702.00
1137.89,35.06,15.80,131.00,702.00
1138.72,35.06,15.80,131.00,702.00
1139.55,35.06,15.80,131.00,702.00
1140.38,35.06,15.80,131.00,702.00
1141.22,35.06,15.80,131.00,702.00
1142.05,35.06,15.80,131.00,702.00
1142.88,35.06,15.80,131.00,702.00
1143.72,35.06,15.80,131.00,702.00
1144.55,35.06,15.79,131.00,702.00
1145.38,35.06,15.79,131.00,702.00
1146.22,35.06,15.79,131.00,702.00
1147.05,35.06,15.79,131.00,702.00
1147.88,35.06,15.79,131.00,702.00
1148.71,35.06,15.79,131.00,702.00
1149.55,35.06,15.79,131.00,702.00
1150.38,35.06,15.79,131.00,702.00
1151.21,35.06,15.79,131.00,702.00
1152.05,35.06,15.79,131.00,702.00
1152.88,35.06,15.79,131.00,702.00
1153.71,35.06,15.79,131.00,702.00
1154.55,35.06,15.79,131.00,702.00
1155.38,35.06,15.79,131.00,702.00
1156.21,35.06,15.79,131.00,702.00
1157.04,35.06,15.79,131.00,702.00
1157.88,35.06,15.79,131.00,702.00
1158.71,35.06,15.79,131.00,702.00
1159.54,35.06,15.79,131.00,702.00
1160.38,35.06,15.79,131.00,702.00
1161.21,35.06,15.79,131.00,702.00
1162.04,35.06,15.79,131.00,702.00
1162.88,35.06,15.79,131.00,702.00
1163.71,35.06,15.79,131.00,702.00
1164.54,35.06,15.78,131.00,702.00
1165.37,35.06,15.78,131.00,702.00
1166.21,35.06,15.78,131.00,702.00
1167.04,35.06,15.78,131.00,702.00
1167.87,35.06,15.78,131.00,702.00
1168.71,35.06,15.78,131.00,702.00
1169.54,35.06,15.78,131.00,702.00
1170.37,35.06,15.78,131.00,702.00
1171.21,35.06,15.78,131.00,702.00
1172.04,35.06,15.78,131.00,702.00
1172.87,35.06,15.78,131.00,702.00
1173.70,35.06,15.78,131.00,702.00
1174.54,35.06,15.78,131.00,702.00
1175.37,35.06,15.78,131.00,702.00
1176.20,35.06,15.78,131.00,702.00
1177.04,35.06,15.78,131.00,702.00
1177.87,35.06,15.78,131.00,702.00
1178.70,35.06,15.78,131.00,702.00
1179.54,35.06,15.78,131.00,702.00
1180.37,35.06,15.78,131.00,702.00
1181.20,35.06,15.78,131.00,702.00
1182.03,35.06,15.78,131.00,702.00
1182.87,35.06,15.78,131.00,702.00
1183.70,35.06,15.78,131.00,702.00
1184.53,35.06,15.77,131.00,702.00
1185.37,35.06,15.77,131.00,702.00
1186.20,35.06,15.77,131.00,702.00
1187.03,35.06,15.77,131.00,702.00
1187.87,35.06,15.77,131.00,702.00
1188.70,35.06,15.77,131.00,702.00
1189.53,35.06,15.77,131.00,702.00
1190.36,35.06,15.77,131.00,702.00
1191.20,35.06,15.77,131.00,702.00
1192.03,35.06,15.77,131.00,702.00
1192.86,35.06,15.77,131.00,702.00
1193.70,35.06,15.77,131.00,702.00
1194.53,35.06,15.77,131.00,702.00
1195.36,35.06,15.77,131.00,702.00
1196.20,35.06,15.77,131.00,702.00
1197.03,35.06,15.77,131.00,702.00
1197.86,35.06,15.77,131.00,702.00
1198.69,35.06,15.77,131.00,702.00
1199.53,35.06,15.77,131.00,702.00
1200.36,35.06,15.77,131.00,702.00
1201.19,35.06,15.77,131.00,702.00
1202.03,35.06,15.77,131.00,702.00
1202.86,35.06,15.77,131.00,702.00
1203.69,35.06,15.77,131.00,702.00
1204.53,35.06,15.77,131.00,702.00
1205.36,35.06,15.76,131.00,702.00
1206.19,35.06,15.76,131.00,702.00
1207.02,35.06,15.76,131.00,702.00
1207.86,35.06,15.76,131.00,702.00
1208.69,35.06,15.76,131.00,702.00
1209.52,35.06,15.76,131.00,702.00
1210.36,35.06,15.76,131.00,702.00
1211.19,35.06,15.76,131.00,702.00
1212.02,35.06,15.76,131.00,702.00
1212.86,35.06,15.76,131.00,702.00
1213.69,35.06,15.76,131.00,702.00
1214.52,35.06,15.76,131.00,702.00
1215.35,35.06,15.76,131.00,702.00
1216.19,35.06,15.76,131.00,702.00
1217.02,35.06,15.76,131.00,702.00
1217.85,35.06,15.76,131.00,702.00
1218.69,35.06,15.76,131.00,702.00
1219.52,35.06,15.76,131.00,702.00
1220.35,35.06,15.76,131.00,702.00
1221.19,35.06,15.76,131.00,702.00
1222.02,35.06,15.76,131.00,702.00
1222.85,35.06,15.76,131.00,702.00
1223.68,35.06,15.76,131.00,702.00
1224.52,35.06,15.76,131.00,702.00
1225.35,35.06,15.75,131.00,702.00
1226.18,35.06,15.75,131.00,702.00
1227.02,35.06,15.75,131.00,702.00
1227.85,35.06,15.75,131.00,702.00
1228.68,35.06,15.75,131.00,702.00
1229.52,35.06,15.75,131.00,702.00
1230.35,35.06,15.75,131.00,702.00
1231.18,35.06,15.75,131.00,702.00
1232.02,35.06,15.75,131.00,702.00
1232.85,35.06,15.75,131.00,702.00
1233.68,35.06,15.75,131.00,702.00
1234.51,35.06,15.75,131.00,702.00
1235.35,35.06,15.75,131.00,702.00
1236.18,35.06,15.75,131.00,702.00
1237.01,35.06,15.75,131.00,702.00
1237.85,35.06,15.75,131.00,702.00
1238.68,35.06,15.75,131.00,702.00
1239.51,35.06,15.75,131.00,702.00
1240.35,35.06,15.75,131.00,702.00
1241.18,35.06,15.75,131.00,702.00
1242.01,35.06,15.75,131.00,702.00
1242.84,35.06,15.75,131.00,702.00
1243.68,35.06,15.75,131.00,702.00
1244.51,35.06,15.75,131.00,702.00
1245.34,35.06,15.74,131.00,702.00
1246.18,35.06,15.74,131.00,702.00
1247.01,35.06,15.74,131.00,702.00
1247.84,35.06,15.74,131.00,702.00
1248.68,35.06,15.74,131.00,702.00
1249.51,35.06,15.74,131.00,702.00
1250.34,35.06,15.74,131.00,702.00
1251.17,35.06,15.74,131.00,702.00
1252.01,35.06,15.74,131.00,702.00
1252.84,35.06,15.74,131.00,702.00
1253.67,35.06,15.74,131.00,702.00
1254.51,35.06,15.74,131.00,702.00
1255.34,35.06,15.74,131.00,702.00
1256.17,35.06,15.74,131.00,702.00
1257.01,35.06,15.74,131.00,702.00
1257.84,35.06,15.74,131.00,702.00
1258.67,35.06,15.74,131.00,702.00
1259.50,35.06,15.74,131.00,702.00
1260.34,35.06,15.74,131.00,702.00
1261.17,35.06,15.74,131.00,702.00
1262.00,35.06,15.74,131.00,702.00
1262.84,35.06,15.74,131.00,702.00
1263.67,35.06,15.74,131.00,702.00
1264.50,35.06,15.74,131.00,702.00
1265.34,35.06,15.73,131.00,702.00
1266.17,35.06,15.73,131.00,702.00
1267.00,35.06,15.73,131.00,702.00
1267.83,35.06,15.73,131.00,702.00
1268.67,35.06,15.73,131.00,702.00
1269.50,35.06,15.73,131.00,702.00
1270.33,35.06,15.73,131.00,702.00
1271.17,35.06,15.73,131.00,702.00
1272.00,35.06,15.73,131.00,702.00
1272.83,35.06,15.73,131.00,702.00
1273.67,35.06,15.73,131.00,702.00
1274.50,35.06,15.73,131.00,702.00
1275.33,35.06,15.73,131.00,702.00
1276.16,35.06,15.73,131.00,702.00
1277.00,35.06,15.73,131.00,702.00
1277.83,35.06,15.73,131.00,702.00
1278.66,35.06,15.73,131.00,702.00
1279.50,35.06,15.73,131.00,702.00
1280.33,35.06,15.73,131.00,702.00
1281.16,35.06,15.73,131.00,702.00
1282.00,35.06,15.73,131.00,702.00
1282.83,35.06,15.73,130.00,703.00
1283.66,35.06,15.73,130.00,703.00
1284.49,35.06,15.73,130.00,703.00
1285.33,35.06,15.73,130.00,703.00
1286.16,35.06,15.72,130.00,703.00
1286.99,35.06,15.72,130.00,703.00
1287.83,35.06,15.72,130.00,703.00
1288.66,35.06,15.72,130.00,703.00
1289.49,35.06,15.72,130.00,703.00
1290.33,35.06,15.72,130.00,703.00
1291.16,35.06,15.72,130.00,703.00
1291.99,35.06,15.72,130.00,703.00
1292.82,35.06,15.72,130.00,703.00
1293.66,35.06,15.72,130.00,703.00
1294.49,35.06,15.72,130.00,703.00
1295.32,35.06,15.72,130.00,703.00
1296.16,35.06,15.72,130.00,703.00
1296.99,35.06,15.72,130.00,703.00
1297.82,35.06,15.72,130.00,703.00
1298.66,35.06,15.72,130.00,703.00
1299.49,35.06,15.72,130.00,703.00
1300.32,35.06,15.72,130.00,703.00
1301.15,35.06,15.72,130.00,703.00
1301.99,35.06,15.72,130.00,703.00
1302.82,35.06,15.72,130.00,703.00
1303.65,35.06,15.72,130.00,703.00
1304.49,35.06,15.72,130.00,703.00
1305.32,35.06,15.72,130.00,703.00
1306.15,35.06,15.71,130.00,703.00
1306.99,35.06,15.71,130.00,703.00
1307.82,35.06,15.71,130.00,703.00
1308.65,35.06,15.71,130.00,703.00
1309.48,35.06,15.71,130.00,703.00
1310.32,35.06,15.71,130.00,703.00
1311.15,35.06,15.71,130.00,703.00
1311.98,35.06,15.71,130.00,703.00
1312.82,35.06,15.71,130.00,703.00
1313.65,35.06,15.71,130.00,703.00
1314.48,35.06,15.71,130.00,703.00
1315.32,35.06,15.71,130.00,703.00
1316.15,35.06,15.71,130.00,703.00
1316.98,35.06,15.71,130.00,703.00
1317.81,35.06,15.71,130.00,703.00
1318.65,35.06,15.71,130.00,703.00
1319.48,35.06,15.71,130.00,703.00
1320.31,35.06,15.71,130.00,703.00
1321.15,35.06,15.71,130.00,703.00
1321.98,35.06,15.71,130.00,703.00
1322.81,35.06,15.71,130.00,703.00
1323.65,35.06,15.71,130.00,703.00
1324.48,35.06,15.71,130.00,703.00
1325.31,35.06,15.71,130.00,703.00
1326.14,35.06,15.70,130.00,703.00
1326.98,35.06,15.70,130.00,703.00
1327.81,35.06,15.70,130.00,703.00
1328.64,35.06,15.70,130.00,703.00
1329.48,35.06,15.70,130.00,703.00
1330.31,35.06,15.70,130.00,703.00
1331.14,35.06,15.70,130.00,703.00
1331.98,35.06,15.70,130.00,703.00
1332.81,35.06,15.70,130.00,703.00
1333.64,35.06,15.70,130.00,703.00
1334.47,35.06,15.70,130.00,703.00
1335.31,35.06,15.70,130.00,703.00
1336.14,35.06,15.70,130.00,703.00
1336.97,35.06,15.70,130.00,703.00
1337.81,35.06,15.70,130.00,703.00
1338.64,35.06,15.70,130.00,703.00
1339.47,35.06,15.70,130.00,703.00
1340.31,35.06,15.70,130.00,703.00
1341.14,35.06,15.70,130.00,703.00
1341.97,35.06,15.70,130.00,703.00
1342.81,35.06,15.70,130.00,703.00
1343.64,35.06,15.70,130.00,703.00
1344.47,35.06,15.70,130.00,703.00
1345.30,35.06,15.70,130.00,703.00
1346.14,35.06,15.69,130.00,703.00
1346.97,35.06,15.69,130.00,703.00
1347.80,35.06,15.69,130.00,703.00
1348.64,35.06,15.69,130.00,703.00
1349.47,35.06,15.69,130.00,703.00
1350.30,35.06,15.69,130.00,703.00
1351.14,35.06,15.69,130.00,703.00
1351.97,35.06,15.69,130.00,703.00
1352.80,35.06,15.69,130.00,703.00
1353.63,35.06,15.69,130.00,703.00
1354.47,35.06,15.69,130.00,703.00
1355.30,35.06,15.69,130.00,703.00
1356.13,35.06,15.69,130.00,703.00
1356.97,35.06,15.69,130.00,703.00
1357.80,35.06,15.69,130.00,703.00
1358.63,35.06,15.69,130.00,703.00
1359.47,35.06,15.69,130.00,703.00
1360.30,35.06,15.69,130.00,703.00
1361.13,35.06,15.69,130.00,703.00
1361.96,35.06,15.69,130.00,703.00
1362.80,35.06,15.69,130.00,703.00
1363.63,35.06,15.69,130.00,703.00
1364.46,35.06,15.69,130.00,703.00
1365.30,35.06,15.69,130.00,703.00
1366.13,35.06,15.68,130.00,703.00
1366.96,35.06,15.68,130.00,703.00
1367.80,35.06,15.68,130.00,703.00
1368.63,35.06,15.68,130.00,703.00
1369.46,35.06,15.68,130.00,703.00
1370.29,35.06,15.68,130.00,703.00
1371.13,35.06,15.68,130.00,703.00
1371.96,35.13,15.54,129.00,704.00
1372.79,35.13,14.79,123.00,710.00
1373.63,35.13,14.79,123.00,710.00
1374.46,35.13,14.79,123.00,710.00
1375.29,35.13,14.79,123.00,710.00
1376.13,35.13,14.78,123.00,710.00
1376.96,35.13,14.78,123.00,710.00
1377.79,35.13,14.78,123.00,710.00
1378.62,35.13,14.78,123.00,710.00
1379.46,35.13,14.78,123.00,710.00
1380.29,35.06,14.92,124.00,709.00
1381.12,35.13,15.53,129.00,704.00
1381.96,35.13,14.78,123.00,710.00
1382.79,35.06,14.92,124.00,709.00
1383.62,35.13,15.53,129.00,704.00
1384.46,35.06,14.92,124.00,709.00
1385.29,35.06,15.67,130.00,703.00
1386.12,35.13,15.53,129.00,704.00
1386.95,35.13,14.78,123.00,710.00
1387.79,35.06,14.92,124.00,709.00
1388.62,35.13,15.52,129.00,704.00
1389.45,35.13,14.77,123.00,710.00
1390.29,35.13,14.77,123.00,710.00
1391.12,35.06,14.91,124.00,709.00
1391.95,35.13,15.52,129.00,704.00
1392.79,35.13,14.77,123.00,710.00
1393.62,35.13,14.77,123.00,710.00
1394.45,35.19,14.63,121.00,712.00
1395.28,35.19,13.87,115.00,718.00
1396.12,35.19,13.87,115.00,718.00
1396.95,35.19,13.87,115.00,718.00
1397.78,35.19,13.87,115.00,718.00
1398.62,35.19,13.87,115.00,718.00
1399.45,35.19,13.87,115.00,718.00
1400.28,35.19,13.87,115.00,718.00
1401.12,35.19,13.87,115.00,718.00
1401.95,35.19,13.86,115.00,718.00
1402.78,35.19,13.86,115.00,718.00
1403.61,35.19,13.86,115.00,718.00
1404.45,35.19,13.86,115.00,718.00
1405.28,35.19,13.86,115.00,718.00
1406.11,35.13,14.00,116.00,717.00
1406.95,35.13,14.75,122.00,711.00
1407.78,35.13,14.75,122.00,711.00
1408.61,35.13,14.75,122.00,711.00
1409.45,35.13,14.75,122.00,711.00
1410.28,35.13,14.75,122.00,711.00
1411.11,35.13,14.75,122.00,711.00
1411.94,35.13,14.75,122.00,711.00
1412.78,35.13,14.75,122.00,711.00
1413.61,35.13,14.74,122.00,711.00
1414.44,35.13,14.74,122.00,711.00
1415.28,35.13,14.74,122.00,711.00
1416.11,35.19,14.60,121.00,712.00
1416.94,35.19,13.85,115.00,718.00
1417.78,35.19,13.85,115.00,718.00
1418.61,35.19,13.84,115.00,718.00
1419.44,35.19,13.84,115.00,718.00
1420.27,35.13,13.99,116.00,717.00
1421.11,35.13,14.73,122.00,711.00
1421.94,35.13,14.73,122.00,711.00
1422.77,35.13,14.73,122.00,711.00
1423.61,35.13,14.73,122.00,711.00
1424.44,35.13,14.73,122.00,711.00
1425.27,35.13,14.73,122.00,711.00
1426.11,35.13,14.73,122.00,711.00
1426.94,35.13,14.73,122.00,711.00
1427.77,35.13,14.73,122.00,711.00
1428.60,35.13,14.73,122.00,711.00
1429.44,35.13,14.73,122.00,711.00
1430.27,35.13,14.73,122.00,711.00
1431.10,35.13,14.72,122.00,711.00
1431.94,35.13,14.72,122.00,711.00
1432.77,35.13,14.72,122.00,711.00
1433.60,35.13,14.72,122.00,711.00
1434.44,35.13,14.72,122.00,711.00
1435.27,35.13,14.72,122.00,711.00
1436.10,35.13,14.72,122.00,711.00
1436.93,35.13,14.72,122.00,711.00
1437.77,35.13,14.72,122.00,711.00
1438.60,35.13,14.72,122.00,711.00
1439.43,35.13,14.72,122.00,711.00
1440.27,35.13,14.72,122.00,711.00
1441.10,35.06,14.86,123.00,710.00
1441.93,35.06,15.61,130.00,703.00
1442.77,35.06,15.61,130.00,703.00
1443.60,35.06,15.61,130.00,703.00
1444.43,35.06,15.61,130.00,703.00
1445.27,35.06,15.61,129.00,704.00
1446.10,35.06,15.61,129.00,704.00
1446.93,35.06,15.61,129.00,704.00
1447.76,35.06,15.60,129.00,704.00
1448.60,35.06,15.60,129.00,704.00
1449.43,35.06,15.60,129.00,704.00
1450.26,35.06,15.60,129.00,704.00
1451.10,35.06,15.60,129.00,704.00
1451.93,35.06,15.60,129.00,704.00
1452.76,35.06,15.60,129.00,704.00
1453.60,35.06,15.60,129.00,704.00
1454.43,35.06,15.60,129.00,704.00
1455.26,35.06,15.60,129.00,704.00
1456.09,35.06,15.60,129.00,704.00
1456.93,35.06,15.60,129.00,704.00
1457.76,35.06,15.60,129.00,704.00
1458.59,35.06,15.60,129.00,704.00
1459.43,35.06,15.60,129.00,704.00
1460.26,35.06,15.60,129.00,704.00
1461.09,35.06,15.60,129.00,704.00
1461.93,35.06,15.60,129.00,704.00
1462.76,35.06,15.60,129.00,704.00
1463.59,35.06,15.60,129.00,704.00
1464.42,35.06,15.60,129.00,704.00
1465.26,35.06,15.60,129.00,704.00
1466.09,35.06,15.60,129.00,704.00
1466.92,35.06,15.60,129.00,704.00
1467.76,35.06,15.59,129.00,704.00
1468.59,35.06,15.59,129.00,704.00
1469.42,35.06,15.59,129.00,704.00
1470.26,35.06,15.59,129.00,704.00
1471.09,35.06,15.59,129.00,704.00
1471.92,35.06,15.59,129.00,704.00
1472.75,35.06,15.59,129.00,704.00
1473.59,35.06,15.59,129.00,704.00
1474.42,35.06,15.59,129.00,704.00
1475.25,35.06,15.59,129.00,704.00
1476.09,35.06,15.59,129.00,704.00
1476.92,35.06,15.59,129.00,704.00
1477.75,35.06,15.59,129.00,704.00
1478.59,35.06,15.59,129.00,704.00
1479.42,35.06,15.59,129.00,704.00
1480.25,35.06,15.59,129.00,704.00
1481.08,35.06,15.59,129.00,704.00
1481.92,35.06,15.59,129.00,704.00
1482.75,35.06,15.59,129.00,704.00
1483.58,35.06,15.59,129.00,704.00
1484.42,35.06,15.59,129.00,704.00
1485.25,35.06,15.59,129.00,704.00
1486.08,35.06,15.59,129.00,704.00
1486.92,35.06,15.59,129.00,704.00
1487.75,35.06,15.59,129.00,704.00
1488.58,35.06,15.58,129.00,704.00
1489.41,35.06,15.58,129.00,704.00
1490.25,35.06,15.58,129.00,704.00
1491.08,35.06,15.58,129.00,704.00
1491.91,35.06,15.58,129.00,704.00
1492.75,35.06,15.58,129.00,704.00
1493.58,35.06,15.58,129.00,704.00
1494.41,35.06,15.58,129.00,704.00
1495.25,35.06,15.58,129.00,704.00
1496.08,35.06,15.58,129.00,704.00
1496.91,35.06,15.58,129.00,704.00
1497.74,35.06,15.58,129.00,704.00
1498.58,35.06,15.58,129.00,704.00
1499.41,35.06,15.58,129.00,704.00
1500.24,35.06,15.58,129.00,704.00
1501.08,35.06,15.58,129.00,704.00
1501.91,35.06,15.58,129.00,704.00
1502.74,35.06,15.58,129.00,704.00
1503.58,35.06,15.58,129.00,704.00
1504.41,35.06,15.58,129.00,704.00
1505.24,35.06,15.58,129.00,704.00
1506.07,35.06,15.58,129.00,704.00
1506.91,35.06,15.58,129.00,704.00
1507.74,35.06,15.58,129.00,704.00
1508.57,35.06,15.57,129.00,704.00
1509.41,35.06,15.57,129.00,704.00
1510.24,35.06,15.57,129.00,704.00
1511.07,35.06,15.57,129.00,704.00
1511.91,35.06,15.57,129.00,704.00
1512.74,35.06,15.57,129.00,704.00
1513.57,35.06,15.57,129.00,704.00
1514.40,35.06,15.57,129.00,704.00
1515.24,35.06,15.57,129.00,704.00
1516.07,35.06,15.57,129.00,704.00
1516.90,35.06,15.57,129.00,704.00
1517.74,35.06,15.57,129.00,704.00
1518.57,35.06,15.57,129.00,704.00
1519.40,35.06,15.57,129.00,704.00
1520.24,35.06,15.57,129.00,704.00
1521.07,35.06,15.57,129.00,704.00
1521.90,35.06,15.57,129.00,704.00
1522.73,35.06,15.57,129.00,704.00
1523.57,35.06,15.57,129.00,704.00
1524.40,35.06,15.57,129.00,704.00
1525.23,35.06,15.57,129.00,704.00
1526.07,35.06,15.57,129.00,704.00
1526.90,35.06,15.57,129.00,704.00
1527.73,35.06,15.57,129.00,704.00
1528.57,35.06,15.56,129.00,704.00
1529.40,35.06,15.56,129.00,704.00
1530.23,35.06,15.56,129.00,704.00
1531.06,35.06,15.56,129.00,704.00
1531.90,35.06,15.56,129.00,704.00
1532.73,35.06,15.56,129.00,704.00
1533.56,35.06,15.56,129.00,704.00
1534.40,35.06,15.56,129.00,704.00
1535.23,35.06,15.56,129.00,704.00
1536.06,35.06,15.56,129.00,704.00
1536.90,35.06,15.56,129.00,704.00
1537.73,35.06,15.56,129.00,704.00
1538.56,35.06,15.56,129.00,704.00
1539.39,35.06,15.56,129.00,704.00
1540.23,35.06,15.56,129.00,704.00
1541.06,35.06,15.56,129.00,704.00
1541.89,35.06,15.56,129.00,704.00
1542.73,35.13,15.41,128.00,705.00
1543.56,35.13,14.66,122.00,711.00
1544.39,35.13,14.66,122.00,711.00
1545.23,35.13,14.66,122.00,711.00
1546.06,35.13,14.66,122.00,711.00
1546.89,35.13,14.66,122.00,711.00
1547.72,35.06,14.80,123.00,710.00
1548.56,35.06,15.55,129.00,704.00
1549.39,35.06,15.55,129.00,704.00
1550.22,35.06,15.55,129.00,704.00
1551.06,35.06,15.55,129.00,704.00
1551.89,35.06,15.55,129.00,704.00
1552.72,35.06,15.55,129.00,704.00
1553.56,35.06,15.55,129.00,704.00
1554.39,35.06,15.55,129.00,704.00
1555.22,35.06,15.55,129.00,704.00
1556.06,35.06,15.55,129.00,704.00
1556.89,35.06,15.55,129.00,704.00
1557.72,35.06,15.55,129.00,704.00
1558.55,35.06,15.55,129.00,704.00
1559.39,35.06,15.55,129.00,704.00
1560.22,35.06,15.55,129.00,704.00
1561.05,35.06,15.55,129.00,704.00
1561.89,35.06,15.55,129.00,704.00
1562.72,35.06,15.55,129.00,704.00
1563.55,35.06,15.55,129.00,704.00
1564.39,35.06,15.54,129.00,704.00
1565.22,35.06,15.54,129.00,704.00
1566.05,35.06,15.54,129.00,704.00
1566.88,35.06,15.54,129.00,704.00
1567.72,35.06,15.54,129.00,704.00
1568.55,35.06,15.54,129.00,704.00
1569.38,35.06,15.54,129.00,704.00
1570.22,35.06,15.54,129.00,704.00
1571.05,35.06,15.54,129.00,704.00
1571.88,35.06,15.54,129.00,704.00
1572.72,35.06,15.54,129.00,704.00
